Name,"Description",Tags
Abyss Cost,"For each ""TOKEN"" in your discard, you may play this card for 2 less {resource:bone} bones.",
Aggressive,"When played, the opposing card is dealt 1 damage.",
Aiming Arcane,"If you provide 2 unique colors of gems, this card may target any enemy space each time it strikes.",has_color
Airborne,"This card attacks directly instead of the opposing card.",
All-Sight,"During your draw step, you may look at the top card of one of your decks before drawing.",
Altar Prayer,"When played, look at and rearrange the top 3 cards on your deck, adding any Altar cards you see to your hand.",
Amorphous,"This card is treated as having all of the opposing card's sigils.",
Animated Arcane,"If you provide 2 unique colors of gems, all Mox cards you control have 1 more power.",has_color
Animated Hemanation,"When sacrificed toggle this card's {mark:transform} Transform mark. While marked, all Mox cards you control have 1 more power.",has_color
Annoying,"The opposing card has 1 more power.",
Ant Spawner,"When played, search a common Ant card into your hand.",
Aquanaut,"This card's strikes may ignore the {sigil:Waterborne} ""Waterborne"" sigil.",
Arcane Blessing,"Once per turn during your play step, discard a card from your hand to give 1 of your cards 1 more power.",has_color
Arcane Echo,"Whenever you use an activated ability, trigger its effect a second time.",
Armor Conduit,"During your end step, place an {mark:armor} Armor mark on any cards that don't have one between this and another Conduit card. When they would take damage, their mark is removed instead.",conduit_sigil
Armored,"This card has an {mark:armor} Armor mark. When a card bearing it would take damage, the mark is removed instead.",
Assembly,"This card may only be played by sacrificing an Automaton, Sniper Bot and Shield Bot, in any order.",
Attack Conduit,"Cards between this and another Conduit card have 1 more power.",conduit_sigil
B34st Tamer,"During your play step, you may toggle the Transform mark on any card you control for free.",
Bastion,"When this card would take damage it only takes half as much, rounded up.",
Battery Bearer,"When played, gain 1 max energy {resource:max_energy} and refill 1 {resource:energy} energy.",has_color
Bees Within,"When this card takes damage, search a ""TOKEN"" into your hand.",
Bell Ringer,"Each time the bell is rung this card gains 1 power, to a maximum of 5.",
Bifurcated Strike,"This card only strikes both adjacent spaces to the opposing space. Additional power only apply to the first strike.",
Blood Battery,"Every 4 {resource:energy} energy you spend in a single turn, gain a blood token. These can serve as substitute for 1 {resource:blood} blood when playing a card.",has_color
Blood Conduit,"If you control another Conduit card, this one will not perish when sacrificed.",conduit_sigil
Bloodless,"This card cannot be sacrificed.",has_color
Bloodlust,"Each time this card kills another, it gains 1 power.",
Bloodsucker,"After this card damages another it gains 1 health, up to 5.",
Bloody Hemanation,"When sacrificed toggle this card's {mark:transform} Transform mark. While marked, it provides 3 {resource:blood} blood when sacrificed.",has_color
Blue Conduit,"If you control another Conduit card, this one provides one {resource:blue_gem} Blue gem.",conduit_sigil
Blue Gem,This card provides one {resource:blue_gem} Blue gem.,"mox_blue, has_color"
Body of Dust,"When playing a card, each gem you shatter counts as 2 shattered gems.",has_color
Bone Digger,"This card provides 1 {resource:bone} bone during your end step.",
Bone King,"This card provides 4 {resource:bone} bones when it perishes, instead of 1.",has_color
Bone Leech,"Each time you gain a {resource:bone} bone due to {sigil:Scavenger} ""Scavenger"", gain another.",
Bonehorn,"During your play step, you may pay 1 {resource:energy} energy to gain 1 {resource:bone} bone.",
Boneless,"This card does not drop a {resource:bone} bone when it perishes.",has_color
Breaker when Powered,"If this card is between two Conduit cards, strikes targeting them are redirected to this card instead.",
Brittle,"If this card attacked this turn, it perishes during your end step.",
Buff when Powered,"If this card is between two Conduit cards, it has 2 more power.",
Bulldoze,"During your play step, you may pay 2 {resource:energy} energy to move this card to an adjacent space, pushing other cards in its way if needed.",
Burrower,"When an empty space on your side would be struck, this card moves to it first.",
Chew Toy,"When played, search any Hound card from your deck.",
Circuit Dependent,"If this card is not between two Conduit cards, it perishes.",
Circuit Latch,"When this card perishes by combat, choose any card on the field. This card now counts as a ""Conduit"" card.",
Clinger,"Each time you place a card, move this card to the closest open space between them.",
Cold Read,"When played, write down the full name of any Common card. Each time it is played by anyone, this card gains 1 power, up to 5.",
Colony,"This card's power is equal to the number of other Ant cards you control.",power_sigil
Convalesce,"During your end step this card gains 1 health, to a maximum of 5.",
Corpse Eater,"When a card you control perishes in combat, you may place this card in its space.",
Creeping Outwards,"On the second draw step after this card was played, search a ""TOKEN"" and play it over this.",
Crew Member,"If you control a card with the {sigil:SkeletonCrew} ""Skeleton Crew"" sigil, you may play this card for free.",
Croaking Trap,"When an Amphibian card you control perishes by combat, the card that killed it is dealt 3 damage.",
Dam Builder,"When played, search up to 2 ""Dam""s and place them in adjacent empty spaces.",
Death Sentence,"When this card perishes, its owner takes 12 direct damage.",
Death Surge,"When this card perishes, gain 1 max energy {resource:max_energy} and refill 1 {resource:energy} energy.",has_color
Deathtrap,"When this card perishes by combat if there is an card opposing it, it perishes and your opponent draws 1 card from their side deck.",
Defiler,"When this card perishes, discard the top card of your main deck.",
Desecration,"When played, search any card from your deck and discard it.",
Detonator,"When this card perishes, it deals 5 damage to any adjacent cards. If it perished by combat, it also deals 5 damage to the opposing card.",
Digger when Powered,"If this card is between two Conduit cards, gain 2 {resource:bone} bones during your end step.",
Disentomb,"During your play step, you may pay 2 {resource:bone} bones to search one ""Skeleton"" from your side deck.",
Dive Bomb,"During your play step, you may sacrifice this card to deal damage equal to its current health to any card on the field.",
Divination,"When played, look at and rearrange the top 3 cards on your deck.",
Dog Treat,"While this card is on the field, Hound cards may be played for half their cost, rounded down.",
Dooming Dust,"Once per turn during your play step, shatter a Mox card you control to make 1 of your cards perish during your end step, but have 2 more power on its next strike.",has_color
Double Death,"When another card you control perishes all effects pertaining to its death, including gained bones,{resource:bone} happen a second time.",
Double Strike,"This card strikes twice when it attacks. Additional power only apply to the first strike.",
Dust Barrier,"When a Mox card you control perishes outside of combat, place an {mark:armor} Armor mark on this card. When it would take damage, the mark is removed instead.",has_color
Dust Eater,"During your end step, this card loses 1 health unless you shatter a Mox card for it.",has_color
Dust Gatherer,"Once per turn, when a Mox card you control perishes outside of combat, search a Side Deck Mox card from your side deck or discard.",has_color
Dust Power,"Each time a Mox card you control perishes outside of combat, this card gains 1 power, up to 5.",has_color
Dusted Knuckles,"When this card kills another, activate the effects of any activated ability on any card you control, even if it was already triggered this turn. ",has_color
Dynamo,"During your draw step, gain 1 additional {resource:energy} energy and {resource:max_energy} max energy.",has_color
Empowered,"This card has two more power.",
Empowered Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card has 2 more power.",
Energy Conduit,"While you control another Conduit card, your energy will always be at its current max.","conduit_sigil, has_color"
Energy Gun,"During your play step, you may pay 2 {resource:energy} energy to deal 1 damage to the opposing card.",
Enhanced,"This card has one more power.",
Enhanced Arcane,"If you provide 2 unique colors of gems, this card has 1 more power.",has_color
Enhanced Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card has 1 more power.",
Enlarge,"During your play step, pay {resource:bone} bones equal to this card's current power plus 1 to increase its power and health by 1.",
Enraged Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card has 4 more power.",
Ensouled,"When this card perishes by combat, search a common Spectre card from your discard and play it in this space for no cost.",has_color
Equivalent Exchange,"Once per turn during your play step, you may exchange a card from your hand with one from your discard pile. Both cards must share a tribe.",
Eternal Life,"During your end step, all Cultist cards you control gain 1 health, up to 5.",
Evasion,"When this card would be struck, you may move it to an adjacent empty space first.",
Event Horizon,"When played, return another card you control and 1 card your opponent controls to their respective owners' hands.",
Evolving Arcane,"If you provide 2 unique colors of gems on your next draw step, search a ""TOKEN"" and play it over this.",has_color
Explosive Latch,"When this card perishes by combat, choose any card on the field. When it perishes, it deals 5 damage to adjacent cards, and if it perished by combat, the same applies to the opposing card.",
Facsimile,"This card's power is equal to the opposing card's power.",power_sigil
Falconry,"While on the field, Avian cards you control may choose to strike the opposing card or to strike directly when attacking.",
Familiar,"If you control no other sacrificeable cards that do not have this sigil, this card perishes.",
Fecundity,"When played, search another copy of this card from your deck.",
Fireball,"During your play step, shatter a Mox card you control to deal damage equal to 3 times its current power to any card on the field.",has_color
Firey Rummage,"During your play step, discard a card from your hand to draw a card from your deck. This card then loses 1 health.",
Fledgling,"On your next draw step, search a ""TOKEN"" and play it over this.",
Flying Hemanation,"When sacrificed toggle this card's {mark:transform} Transform mark. While marked, this card deals direct damage  when attacking.",has_color
Flying Transformer,"During your end step toggle this card's {mark:transform} Transform mark. While marked, this card deals direct damage when attacking.",
Fossil Fuel,"During your play step, you may pay 3 {resource:bone} bones to get 1 max energy {resource:max_energy} and refill 1 {resource:energy} energy.",
Fracture,"When this card perishes by combat gain {resource:bone} bones equal to the damage it was dealt, including damage overflow.",
Fragile Construct,"When played, search any common card with {sigil:Brittle} ""Brittle"" into your hand.",
Fragment Hoard,"This card may be shattered to provide 2 shattered {resource:prism_gem} gems of any color.",has_color
Frog Friend,"During your end step, move this card to an adjacent empty space and search and place any Amphibian card in its previous space.",
Frozen Away,"When this card perishes, search and place a ""TOKEN"" in its space.",
Fuse Cover,"While this card is on the field, strikes targeting Conduit cards are redirected to this card instead.",
Gem Animator,All Mox cards you control have 1 more power.,has_color
Gem Dependent,"If you control no other Mox cards, this card perishes.",has_color
Gem Detonator,"When a Mox card you control perishes, it deals 5 damage to any adjacent cards. If it perished by combat, it also deals 5 damage to the opposing card.",has_color
Gem Greed,"When a Mox card you control perishes by combat, draw a card.",has_color
Gem Guardian,"When played, place an {mark:armor} Armor mark on all Mox cards you control that don't have one. When they would take damage, their mark is removed instead.",has_color
Gem Instability,"When a card damages a Mox card, it is dealt 1 damage in return.",has_color
Gem Intercept,"When a Mox card you control would be struck, you may first swap its position with this card's.",has_color
Gem Powered,"This card's power is equal to the number of Mox cards you control.","power_sigil, has_color"
Gem Reinforce,"When this card perishes, all Mox cards you control gain 1 health.",has_color
