Card Name,Art File,Temple,Tier,Cost,Power,Health,Sigils,Token,Traits,Tribes,Flavor Text,Credit,Tags
Gemification,Gemification.png,Magick,Common,PRISM_-2_3 bones,orange_+1_1,green_+2_1,"GREEN_BLUE_Piercing, Gem Dependent",,,Test Mage,"Oooh, shiny !",NEWS,
Bee,Bee.png,Beast,Side Deck,free,1,1,"Airborne, Brittle",,,Insect,Unassuming but determined pests.,Pixel Profligate,gemified_vanila
Krill,Krill.png,Beast,Side Deck,free,0,1,Waterborne,,,Fish,One in a krillion.,Murigen,
Squirrel,Squirrel.png,Beast,Side Deck,free,0,1,,,,Vermin,"Small, frail, but ever so useful.",Pixel Profligate,
Beehive,Beehive.png,Beast,Common,free,0,3,Bees Within,Bee,Bloodless,Insect,"Nonthreatening, if you leave it be.",Pixel Profligate,bloodless_bg
Lil' Frog,LilFrog.png,Beast,Common,free,0,1,Burrower,,,Amphibian,Just a little guy.,Pixel Profligate,
Rabbit,Rabbit.png,Beast,Common,free,0,1,,,,Vermin,What purpose could it serve?,Pixel Profligate,
Tadpole,Tadpole.png,Beast,Common,free,0,1,"Fledgling, Waterborne",Bullfrog,,Amphibian,"Small, frail, and pathetic... for now.",Pixel Profligate,
Axolotl,Axolotl.png,Beast,Common,1 blood,1,1,Convalesce,,,Amphibian,A friend-shaped regenerator.,Pixel Profligate,
Bullfrog,Bullfrog.png,Beast,Common,1 blood,1,3,Mighty Leap,,,Amphibian,"Seemingly lazy, but ever watchful.",Pixel Profligate,
Catfish,Catfish.png,Beast,Common,1 blood,0,2,Sharp Quills,,,Fish Conduit,Quite a... shocking specimen.,Murigen,
Crab,Crab.png,Beast,Common,1 blood,1,1,Armored,,,,"Tiny, scuttling, but resilient stature.",Murigen,
Elk Fawn,ElkFawn.png,Beast,Common,1 blood,1,1,"Sprinter, Fledgling",Elk,,Hooved,"Young, ambitious, and scared.",Pixel Profligate,
Flying Ant,FlyingAnt.png,Beast,Common,1 blood,0,1,Airborne,,Ant Power,Ant Insect,"A pest alone, but devastating in swarm.",Pixel Profligate,
Kingfisher,Kingfisher.png,Beast,Common,1 blood,1,1,"Airborne, Waterborne",,,Avian,"A swift, slippery hunter.",Pixel Profligate,
Mantis,Mantis.png,Beast,Common,1 blood,1,1,Bifurcated Strike,,,Insect,A slight incarnation of terror.,Pixel Profligate,
Mirror Tentacle,MirrorTentacle.png,Beast,Common,1 blood,X,3,,,Mirror Power,Tentacle,Curious...,Pixel Profligate,
Mole,Mole.png,Beast,Common,1 blood,0,4,"Burrower, Bone Digger",,,Vermin,"Blind, but seemingly omnipresent.",Pixel Profligate,
